"This worksheet includes one table, with columns A through AV. Blank cells within the table indicate that there is no data for that element.  The table includes data, organized by School, such as county, district, and school codes and names. The table also includes basic information about the school such as address, grade levels, and contacts."
New Jersey School Directory
Public Schools
County Code,County Name,District Code,District Name,School Code,School Name,Princ. Title,Princ. First Name,Princ. Last Name,Princ. Title 2,Princ. Email,Address1,Address2,City,State,Zip,Mailing Address1,Mailing Address2,Mailing City,Mailing State,Mailing Zip,HIB Title1,HIB First Nname,HIB Last Name,HIB Title2,Homeless Liaison Title1,Homeless Liaison First Name,Homeless Liaison Last Name,Homeless Liaison Title2,Phone,Pre-K,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Post Grad,Adult Ed.,NCES Code
"=""01""",ATLANTIC,"=""0110""",Atlantic City School District,"=""130""",Venice Park School,Mrs.,Jodi,Burroughs,School Principal,jburroughs@acboe.org,1601 N Penrose Avenue," ",Atlantic City,NJ,"=""08401-1710""",1601 N Penrose Avenue," ",Atlantic City,NJ,"=""08401-1710""",Ms.,Jennifer,Hagel,Anti-Bullying Specialist,,,,,"=""609-343-7270""",1,,,,,,,,,,,,,,,,"=""00030"""
"=""01""",ATLANTIC,"=""0125""",Atlantic County Special Services School District,"=""030""",Atlantic County Elementary and Middle Schools,Mr.,Brian,Kern,School Principal,bkern@acsssd.net,4805 NAWAKWA BOULEVARD," ",MAYS LANDING,NJ,"=""08330""",4805 NAWAKWA BOULEVARD," ",MAYS LANDING,NJ,"=""08330""",Ms.,Deborah,Sylvia,Anti-Bullying Specialist,,,,,"=""609-909-9147""",1,1,1,1,1,1,1,1,1,1,,,,,,,"=""00695"""
"=""01""",ATLANTIC,"=""0125""",Atlantic County Special Services School District,"=""060""",Atlantic County High School,Mr.,Tad,Derenberger,School Principal,tderenberger@acsssd.net,4805 NAWAKWA BOULEVARD," ",MAYS LANDING,NJ,"=""08330""",4805 NAWAKWA BOULEVARD," ",MAYS LANDING,NJ,"=""08330""",Ms.,Deborah,Sylvia,Anti-Bullying Specialist,,,,,"=""609-625-5663""",,,,,,,,,,,1,1,1,1,,,"=""00697"""
"=""01""",ATLANTIC,"=""0120""",Atlantic County Vocational School District,"=""010""",Atlantic County Institute of Technology,Mr.,Joseph,Potkay,School Principal,jpotkay@acitech.org,5080 ATLANTIC AVENUE," ",MAYS LANDING,NJ,"=""08330-2024""",5080 ATLANTIC AVENUE," ",MAYS LANDING,NJ,"=""08330-2024""",Ms.,Erin,Higman,Anti-Bullying Specialist,Ms.,Erin,Higman,School Homeless Liaison,"=""609-625-2249""",,,,,,,,,,,1,1,1,1,,,"=""00034"""
"=""01""",ATLANTIC,"=""0570""",Brigantine Public School District,"=""300""",Brigantine Community School,Mr.,Glenn,Robbins,School Principal,grobbins@brigantineschools.org,301 East Evans Blvd," ",Brigantine,NJ,"=""08203""",301 East Evans Blvd," ",Brigantine,NJ,"=""08203""",Mr.,Greg,Smallwood,Anti-Bullying Specialist,,,,,"=""609-266-3603""",1,1,1,1,1,1,1,1,1,1,,,,,,,"=""03479"""
"=""01""",ATLANTIC,"=""0590""",Buena Regional School District,"=""025""",Buena Regional High School,Mrs.,Karen,Cavalieri,School Principal,kcavalieri@buena.k12.nj.us,125 WEYMOUTH ROAD," ",BUENA,NJ,"=""08310-9620""",125 WEYMOUTH ROAD,"PO BOX 309 ",BUENA,NJ,"=""08310-9620""",Ms.,Melissa,Padilla,Anti-Bullying Specialist,,,,,"=""856-697-2400""",,,,,,,,,,,1,1,1,1,,,"=""00044"""
"=""01""",ATLANTIC,"=""0590""",Buena Regional School District,"=""030""",Buena Regional Middle School,Ms.,Rory,Nordberg,School Principal,rnordberg@buena.k12.nj.us,175 WEYMOUTH RD," ",BUENA,NJ,"=""08310""",175 WEYMOUTH RD," ",BUENA,NJ,"=""08310""",Mrs.,Jennifer,Mazza,Anti-Bullying Specialist,,,,,"=""856-697-0100""",,,,,,,,1,1,1,,,,,,,"=""00046"""
"=""01""",ATLANTIC,"=""0590""",Buena Regional School District,"=""045""",Collings Lakes Elementary School,Mr.,Richard,Lawrence,School Principal,rlawrence@buena.k12.nj.us,620 CAINS MILL RD  & LAKE GEOR," ",WILLIAMSTOWN,NJ,"=""08094-8419""",620 CAINS MILL RD  & LAKE GEOR," ",WILLIAMSTOWN,NJ,"=""08094-8419""",Ms.,Angela,Villecco,Anti-Bullying Specialist,,,,,"=""856-885-4994""",1,1,1,1,,,,,,,,,,,,,"=""00048"""
"=""01""",ATLANTIC,"=""0590""",Buena Regional School District,"=""300""",Dr. J.P. Cleary Elementary School,Dr.,Leonard,Long,School Principal,llong@buena.k12.nj.us,1501 CENTRAL AVE," ",MINOTOLA,NJ,"=""08341""",1501 CENTRAL AVE," ",MINOTOLA,NJ,"=""08341""",Mrs.,Karen,Lindner,Anti-Bullying Specialist,,,,,"=""856-697-8080""",,,,,1,1,1,,,,,,,,,,"="""""
"=""01""",ATLANTIC,"=""0590""",Buena Regional School District,"=""055""",John C. Milanesi Elementary School,Mrs.,Jamie,VanArtsdalen,School Principal,jvanartsdalen@BUENA.K12.NJ.US,880 HARDING HIGHWAY," ",BUENA,NJ,"=""08310-9701""",880 HARDING HIGHWAY," ",BUENA,NJ,"=""08310-9701""",Mrs.,Megan,Capiak,Anti-Bullying Specialist,,,,,"=""856-697-0605""",1,1,1,1,,,,,,,,,,,,,"=""00052"""
"=""01""",ATLANTIC,"=""1300""",Egg Harbor City School District,"=""020""",Charles L. Spragg School,Mrs.,Adrienne,Shulby,School Administrator,ashulby@eggharborcityschools.com,601 BUFFALO AVE," ",EGG HARBOR CITY,NJ,"=""08215-2105""",601 BUFFALO AVE," ",EGG HARBOR CITY,NJ,"=""08215-2105""",Mrs.,Tina,Hennaut,Anti-Bullying Specialist,,,,,"=""609-965-1034""",1,1,1,1,1,,,,,,,,,,,,"=""00074"""
"=""01""",ATLANTIC,"=""1300""",Egg Harbor City School District,"=""030""",Egg Harbor City Community School,Dr.,Gina,Forester,School Principal,gforester@eggharborcityschools.com,730 Havana Avenue," ",EGG HARBOR CITY,NJ,"=""08215-1547""",730 Havana Avenue," ",EGG HARBOR CITY,NJ,"=""08215-1547""",Ms.,Leah,Gaston,Anti-Bullying Specialist,,,,,"=""609-965-1034""",,,,,,1,1,1,1,1,,,,,,,"=""00076"""
"=""01""",ATLANTIC,"=""1310""",Egg Harbor Township School District,"=""038""",Alder Avenue Middle School,Mrs.,Tatianna,Cunningham,School Principal,cunningt@eht.k12.nj.us,25 ALDER AVENUE," ",EGG HARBOR TOWNSHIP,NJ,"=""08234-5315""",25 ALDER AVENUE," ",EGG HARBOR TOWNSHIP,NJ,"=""08234-5315""",Ms.,Tia,Tracey,Anti-Bullying Specialist,,,,,"=""609-383-3366""",,,,,,,,1,1,1,,,,,,,"=""02953"""
"=""01""",ATLANTIC,"=""1310""",Egg Harbor Township School District,"=""300""",Bargaintown Preschool,Mr.,Joseph,Marinelli,School Principal,marinelj@eht.k12.nj.us,3393 Bargaintown Road," ",Egg Harbor Township,NJ,"=""08234""",3393 Bargaintown Road,"2nd Floor ",Egg Harbor Township,NJ,"=""08234""",Mrs.,Kasey,Iannello,Anti-Bullying Specialist,,,,,"=""609-926-1061""",1,,,,,,,,,,,,,,,,"=""06135"""
"=""01""",ATLANTIC,"=""1310""",Egg Harbor Township School District,"=""033""",Clayton J. Davenport Elementary School,Mrs.,Latiya,White,School Principal,whitel@eht.k12.nj.us,2499 SPRUCE AVENUE," ",EGG HARBOR TOWNSHIP,NJ,"=""08234-4513""",2501 SPRUCE AVENUE," ",EGG HARBOR TOWNSHIP,NJ,"=""08234-4513""",Ms.,Teighan,Menchaca,Anti-Bullying Specialist,,,,,"=""609-645-3550""",1,1,1,1,1,,,,,,,,,,,,"=""00086"""
"=""01""",ATLANTIC,"=""1310""",Egg Harbor Township School District,"=""045""",Dr. Joyanne D. Miller Elementary School,Mr.,James,Battersby,School Principal,battersj@eht.k12.nj.us,2 ALDER AVENUE," ",EGG HARBOR TOWNSHIP,NJ,"=""08234""",2 ALDER AVENUE," ",EGG HARBOR TOWNSHIP,NJ,"=""08234""",Ms.,Blake,Rosetti,Anti-Bullying Specialist,,,,,"=""609-407-2500""",,,,,,1,1,,,,,,,,,,"=""00698"""
"=""01""",ATLANTIC,"=""1310""",Egg Harbor Township School District,"=""005""",Egg Harbor Township High School,Ms.,Jaclyn,Carugno,School Principal,carugnoj@eht.k12.nj.us,24 HIGH SCHOOL DRIVE," ",EGG HARBOR TOWNSHIP,NJ,"=""08234-9450""",24 HIGH SCHOOL DRIVE," ",EGG HARBOR TOWNSHIP,NJ,"=""08234-9450""",Mrs.,Staci,Dimattia,Anti-Bullying Specialist,,,,,"=""609-653-0100""",,,,,,,,,,,1,1,1,1,,,"=""05961"""
"=""01""",ATLANTIC,"=""1310""",Egg Harbor Township School District,"=""039""",Fernwood Avenue Middle School,Mr.,Frank,Locantora,School Principal,locantof@eht.k12.nj.us,4034 FERNWOOD AVENUE," ",EGG HARBOR TOWNSHIP,NJ,"=""08234-5703""",4034 FERNWOOD AVENUE," ",EGG HARBOR TOWNSHIP,NJ,"=""08234-5703""",Mrs.,Lee Ann,Dragovits,Anti-Bullying Specialist,,,,,"=""609-383-3355""",,,,,,,,1,1,1,,,,,,,"=""02955"""
"=""01""",ATLANTIC,"=""1310""",Egg Harbor Township School District,"=""035""",Swift-Slaybaugh Complex,Mrs.,Rachel,Casumpang,School Principal,casumpangr@eht.k12.nj.us,11 SWIFT AVENUE," ",EGG HARBOR TOWNSHIP,NJ,"=""08234-9697""",11 SWIFT AVENUE," ",EGG HARBOR TOWNSHIP,NJ,"=""08234-9697""",Ms.,Kasey,Iannello,Anti-Bullying Specialist,,,,,"=""609-927-8222""",1,1,1,1,1,,,,,,,,,,,,"=""00051"""
"=""01""",ATLANTIC,"=""1410""",Estell Manor School District,"=""050""",Estell Manor Elementary School,Mr.,David,Ricci,Chief School Administrator,dricci@estellmanorschool.com,128 CAPE MAY AVENUE," ",ESTELL MANOR,NJ,"=""08319-1735""",128 CAPE MAY AVENUE," ",ESTELL MANOR,NJ,"=""08319-1735""",Mrs.,Sarah,Foley,Anti-Bullying Specialist,Mrs.,Sarah,Foley,School Homeless Liaison,"=""609-476-2267""",1,1,1,1,1,1,1,1,1,1,,,,,,,"=""00102"""
"=""01""",ATLANTIC,"=""1540""",Folsom Borough School District,"=""050""",Folsom Elementary School,Mr.,Kevin,Fricke,Chief School Administrator,kfricke@folsomschool.org,1357 Mays Landing Road," ",Folsom,NJ,"=""08037""",1357 Mays Landing Road," ",Folsom,NJ,"=""08037""",Mr.,Ryan,Schaefer,Anti-Bullying Specialist,Mrs.,Angela,Sharp,School Homeless Liaison,"=""609-561-8666""",1,1,1,1,1,1,1,1,1,1,,,,,,,"=""00104"""
"=""01""",ATLANTIC,"=""1690""",Galloway Township Public School District,"=""015""",Arthur Rann Elementary School,Mr.,Kevin,McGloin,School Principal,mcgloink@gtps.k12.nj.us,515 S EIGHTH AVE," ",GALLOWAY,NJ,"=""08205""",515 S EIGHTH AVE," ",GALLOWAY,NJ,"=""08205""",Ms.,Nicole,Fedeli,Anti-Bullying Specialist,,,,,"=""609-748-1250""",1,1,1,1,1,1,1,1,,,,,,,,,"=""00108"""
"=""01""",ATLANTIC,"=""1690""",Galloway Township Public School District,"=""016""",Galloway Township Middle School,Mrs.,Paula,Junker,School Principal,junkerp@gtps.k12.nj.us,100 S  REEDS ROAD," ",GALLOWAY,NJ,"=""08205""",100 S  REEDS ROAD," ",GALLOWAY,NJ,"=""08205""",Ms.,Patricia,Palumbo,Anti-Bullying Specialist,,,,,"=""609-748-1250""",,,,,,,,,1,1,,,,,,,"=""00383"""
"=""01""",ATLANTIC,"=""1690""",Galloway Township Public School District,"=""045""",Reeds Road Elementary School,Dr.,Donald,Gross,School Principal,grossd@gtps.k12.nj.us,103 SOUTH REEDS ROAD," ",GALLOWAY,NJ,"=""08205""",103 SOUTH REEDS ROAD," ",GALLOWAY,NJ,"=""08205""",Mrs.,Lisa,Loeb,Anti-Bullying Specialist,,,,,"=""609-748-1250""",1,1,1,1,1,1,1,1,,,,,,,,,"=""06028"""
"=""01""",ATLANTIC,"=""1690""",Galloway Township Public School District,"=""046""",Roland Rogers Elementary School,Mr.,Kevin,Lightcap,School Principal,lightcapk@gtps.k12.nj.us,105 S  REEDS ROAD," ",GALLOWAY,NJ,"=""08205""",105 S  REEDS ROAD," ",GALLOWAY,NJ,"=""08205""",Mrs.,Erin,Muzyka,Anti-Bullying Specialist,,,,,"=""609-748-1250""",1,1,1,1,1,1,1,1,,,,,,,,,"=""06088"""
"=""01""",ATLANTIC,"=""1690""",Galloway Township Public School District,"=""048""",Smithville Elementary School,Mr.,David,Ragazzi,School Principal,ragazzid@gtps.k12.nj.us,37 S  OLD PORT REPUBLIC ROAD," ",GALLOWAY,NJ,"=""08205""",37 S  OLD PORT REPUBLIC ROAD," ",GALLOWAY,NJ,"=""08205""",Mrs.,Arielle,Lupinetti,Anti-Bullying Specialist,,,,,"=""609-748-1250""",1,1,1,1,1,1,1,1,,,,,,,,,"=""06089"""
"=""01""",ATLANTIC,"=""1790""",Greater Egg Harbor Regional High School District,"=""040""",Absegami High School,Mr.,Daniel,Kern,School Principal,dkern@gehrhsd.net,201 S  WRANGLEBORO ROAD," ",GALLOWAY,NJ,"=""08205-9554""",201 S  WRANGLEBORO ROAD," ",GALLOWAY,NJ,"=""08205-9554""",Mr.,Michael,Forest,Anti-Bullying Specialist,Ms.,Bonnie,Wade,School Homeless Liaison,"=""609-652-1372""",,,,,,,,,,,1,1,1,1,,,"=""00122"""
"=""01""",ATLANTIC,"=""1790""",Greater Egg Harbor Regional High School District,"=""060""",Cedar Creek High School,Mr.,Scott,Parker,School Principal,sparker@gehrhsd.net,1701 New York Ave.," ",EGG HARBOR CITY,NJ,"=""08215-1606""",1701 New York Ave," ",EGG HARBOR CITY,NJ,"=""08215-1606""",Ms.,Gabriella,(Spinella) Salamone,Anti-Bullying Specialist,Ms.,Sarah,Czar,School Homeless Liaison,"=""609-593-3560""",,,,,,,,,,,1,1,1,1,,,"=""03115"""
"=""01""",ATLANTIC,"=""1790""",Greater Egg Harbor Regional High School District,"=""050""",Oakcrest High School,Mr.,Michael,Manning,School Principal,mmanning@gehrhsd.net,1824 DR  DENNIS FOREMAN DRIVE," ",MAYS LANDING,NJ,"=""08330-2640""",1824 DR  DENNIS FOREMAN DRIVE," ",MAYS LANDING,NJ,"=""08330-2640""",Mr.,Vincent,Caiazzo,Anti-Bullying Specialist,Ms.,Angela,Williams,School Homeless Liaison,"=""609-909-2600""",,,,,,,,,,,1,1,1,1,,,"=""00124"""
"=""01""",ATLANTIC,"=""1940""",Hamilton Township School District,"=""055""",George L. Hess Educational Complex,,Dan,Cartwright,School Principal,cartwrightd@hamiltonschools.org,700 BABCOCK ROAD," ",MAYS LANDING,NJ,"=""08330""",700 BABCOCK ROAD," ",MAYS LANDING,NJ,"=""08330""",,Laura,Hackney,Anti-Bullying Specialist,,,,,"=""609-476-6101""",,,1,1,1,1,1,,,,,,,,,,"=""00015"""
"=""01""",ATLANTIC,"=""1940""",Hamilton Township School District,"=""060""",Joseph C Shaner Memorial Elementary School,,Melanie,Lamanteer,School Principal,lamanteerm@hamiltonschools.org,5801 THIRD STREET," ",MAYS LANDING,NJ,"=""08330""",5801 THIRD STREET," ",MAYS LANDING,NJ,"=""08330""",,Kelly,Crowder,Anti-Bullying Specialist,,,,,"=""609-476-6141""",1,1,,,,,,,,,,,,,,,"=""00130"""
"=""01""",ATLANTIC,"=""1940""",Hamilton Township School District,"=""120""",William Davies Middle School,Dr.,Jennifer,Holmstrom,School Principal,holmstromj@hamiltonschools.org,1876 DR  DENNIS FOREMAN DRIVE," ",MAYS LANDING,NJ,"=""08330""",1876 DR  DENNIS FOREMAN DRIVE," ",MAYS LANDING,NJ,"=""08330""",,Brown,Angelica,Anti-Bullying Specialist,,,,,"=""609-476-6241""",1,,,,,,,1,1,1,,,,,,,"=""06029"""
"=""01""",ATLANTIC,"=""1960""",Hammonton School District,"=""030""",Hammonton Early Childhood Educational Center,Ms.,Darla,Salay,School Principal,dsalay@hammontonps.org,601C NORTH 4TH STREET," ",HAMMONTON,NJ,"=""08037""",601C NORTH 4TH STREET," ",HAMMONTON,NJ,"=""08037""",Ms.,Katelyn,Lidestri,Anti-Bullying Specialist,,,,,"=""609-567-6693""",1,1,1,,,,,,,,,,,,,,"=""00699"""
"=""01""",ATLANTIC,"=""1960""",Hammonton School District,"=""050""",Hammonton High School,Mr.,Michael,Mattina,School Principal,mmattina@hammontonps.org,566 OLD FORKS ROAD," ",HAMMONTON,NJ,"=""08037""",566 OLD FORKS ROAD," ",HAMMONTON,NJ,"=""08037""",Ms.,Anna,Warburton,Anti-Bullying Specialist,,,,,"=""609-567-7000""",,,,,,,,,,,1,1,1,1,,,"=""00136"""
"=""01""",ATLANTIC,"=""1960""",Hammonton School District,"=""060""",Hammonton Middle School,Dr.,Kimberly,Rudnesky,School Principal,krudnesky@hammontonps.org,75 NORTH LIBERTY STREET," ",HAMMONTON,NJ,"=""08037-9425""",75 NORTH LIBERTY STREET," ",HAMMONTON,NJ,"=""08037-9425""",Ms.,Lisa,DeKlerk,Anti-Bullying Specialist,,,,,"=""609-567-7007""",,,,,,,,1,1,1,,,,,,,"=""00140"""
"=""01""",ATLANTIC,"=""1960""",Hammonton School District,"=""055""",Warren E. Sooy Jr. Elementary School,Dr.,Kristina,Tigro,School Principal,ktigro@hammontonps.org,601 N  FOURTH STREET," ",HAMMONTON,NJ,"=""08037-9720""",601 N  FOURTH STREET," ",HAMMONTON,NJ,"=""08037-9720""",Ms.,Debra,Schmidt,Anti-Bullying Specialist,,,,,"=""609-567-7070""",,,,1,1,1,1,,,,,,,,,,"=""00138"""
"=""01""",ATLANTIC,"=""2680""",Linwood City School District,"=""020""",Belhaven Middle School,Dr.,Jennifer,Luff,School Principal,jenniferluff@linwoodschools.org,51 BELHAVEN AVENUE," ",LINWOOD,NJ,"=""08221""",51 BELHAVEN AVENUE," ",LINWOOD,NJ,"=""08221""",Mrs.,Melissa,Duffy,Anti-Bullying Specialist,,,,,"=""609-926-6700""",,,,,,,1,1,1,1,,,,,,,"=""00144"""
"=""01""",ATLANTIC,"=""2680""",Linwood City School District,"=""050""",Seaview Elementary School,Mrs.,Lori,Care,School Principal,loricare@linwoodschools.org,2015 WABASH AVE," ",LINWOOD,NJ,"=""08221""",2015 WABASH AVE," ",LINWOOD,NJ,"=""08221""",Ms.,Shari,Frolove,Anti-Bullying Specialist,,,,,"=""609-926-6700""",1,1,1,1,1,1,,,,,,,,,,,"=""00150"""
"=""01""",ATLANTIC,"=""2910""",Mainland Regional High School,"=""050""",Mainland Regional High School,Mr.,MARK,MARRONE,School Principal,MMARRONE@MAINLANDREGIONAL.NET,1301 OAK AVENUE," ",LINWOOD,NJ,"=""08221""",1301 OAK AVENUE," ",LINWOOD,NJ,"=""08221""",Ms.,Marisa,McDole,Anti-Bullying Specialist,Mr.,Dave,Jacobs,School Homeless Liaison,"=""609-927-4151""",,,,,,,,,,,1,1,1,1,1,,"=""00158"""
"=""01""",ATLANTIC,"=""3020""",Margate City School District,"=""010""",Eugene A. Tighe Middle School,Mrs.,Samantha,Dulude,School Principal,sdulude@margateschools.org,7804 AMHERST AVENUE," ",MARGATE,NJ,"=""08402""",7804 AMHERST AVENUE," ",MARGATE,NJ,"=""08402""",Dr.,Jacque,Jones,Anti-Bullying Specialist,,,,,"=""609-822-2353""",,,,,,,1,1,1,1,,,,,,,"=""00162"""
"=""01""",ATLANTIC,"=""3020""",Margate City School District,"=""025""",William H. Ross III School,Mrs.,Bonnie,Marino,School Principal,bmarino@margateschools.org,101 N  HAVERFORD AVENUE," ",MARGATE,NJ,"=""08402""",101 N  HAVERFORD AVENUE," ",MARGATE,NJ,"=""08402""",Mrs.,Kaitlyn,Roselli,Anti-Bullying Specialist,,,,,"=""609-822-2080""",1,1,1,1,1,1,,,,,,,,,,,"=""00393"""
"=""01""",ATLANTIC,"=""3480""",Mullica Township School District,"=""025""",Mullica Township Middle School,Mrs.,Maris,Lynn,School Principal,mlynn@mullicaschools.com,500 ELWOOD ROAD,"P O  BOX 318 ",ELWOOD,NJ,"=""08217-0318""",500 ELWOOD ROAD,"P O  BOX 318 ",ELWOOD,NJ,"=""08217-0318""",Mr.,Bill,Maher,Anti-Bullying Specialist,,,,,"=""609-561-3868""",,,,,,,1,1,1,1,,,,,,,"=""00174"""
"=""01""",ATLANTIC,"=""3480""",Mullica Township School District,"=""020""",Mullica Township Primary School,Mrs.,Donna,Lesher,School Principal,dlesher@mullicaschools.com,500 ELWOOD ROAD,"P O  BOX 318 ",ELWOOD,NJ,"=""08217-0318""",500 ELWOOD ROAD,"P O  BOX 318 ",ELWOOD,NJ,"=""08217-0318""",Ms.,Mallory,Zolinas,Anti-Bullying Specialist,,,,,"=""609-561-3868""",1,1,1,1,1,1,,,,,,,,,,,"=""00172"""
"=""01""",ATLANTIC,"=""3720""",Northfield City School District,"=""057""",Northfield Community Elementary School,Mrs.,Maureen,Vaccaro,School Principal,mvaccaro@ncs-nj.org,2000 NEW ROAD," ",NORTHFIELD,NJ,"=""08225""",2000 NEW ROAD," ",NORTHFIELD,NJ,"=""08225""",Mr.,Ryan,Comunale,Anti-Bullying Specialist,,,,,"=""609-407-4005""",1,1,1,1,1,1,,,,,,,,,,,"=""00217"""
